,Baetis fuscatus,Limnodrilus gotoi,Hydropsyche kozhantschikovi,Teloganopsis punctisetae,Ephemera orientalis,pH,Conductivity,DO,BOD,COD,SS,TN,TP
observation3513,0,0,0,0,1,8.7,267.875,10.6625,1.85,6.7625,8.775,1.6,0.0385
observation3514,0,0,0,0,0,7.8375,202,10.15,1.75,5,9.7,2.1545,0.038875
observation3515,0,0,0,0,0,7.4875,207.75,9.35,1.675,6.5125,9.225,2.496625,0.0785
observation3516,0,0,0,0,0,8.55,333.125,10.5375,2.0375,6.5125,3.8,2.52675,0.0225
observation3517,0,0,0,0,0,8.675,292.25,11.025,1.8625,7.075,8.05,1.903875,0.03175
observation3518,0,0,0,0,0,8.675,256.75,11.4,1.9625,7.225,7.625,2.58725,0.04
observation3519,0,0,0,0,0,7.875,183,9.45,1.6125,8.1375,15.95,2.35275,0.09675
observation3520,0,0,0,0,0,8.3625,381.25,10.2875,1.1125,6.6,4.9,2.471625,0.0315
observation3521,0,0,0,0,0,7.45,201.5,9.5125,1.4625,7.75,13.2375,2.248375,0.067
observation3522,0,1,0,0,0,8.5375,308.375,10.525,1.9375,5.775,5.325,2.305125,0.02225
observation3523,0,0,0,0,0,7.925,208.75,9.9,1.1375,6.125,18.75,1.948125,0.047375
observation3524,0,1,0,0,1,8.175,276.375,10.1625,1.5875,5.7875,7.575,2.221625,0.024625
observation3525,0,1,0,0,1,7.25,244.125,10.15,1.725,6.3625,8.85,2.19075,0.057375
observation3526,0,0,0,0,0,7.6,337,8.728571429,3.7,8.857142857,23.62857143,2.627857143,0.084142857
observation3527,0,0,0,0,0,7.771428571,376,7.114285714,1.671428571,8.657142857,15.12857143,2.609714286,0.084
observation3528,0,0,0,0,0,7.742857143,403.5714286,9.385714286,5.142857143,10.12857143,22.94285714,1.272714286,0.118714286
observation3529,0,0,0,0,0,7.5125,293.25,7.9875,2.475,7.1875,27.4875,1.837,0.099625
observation3530,1,1,1,0,0,8.766666667,175.6666667,10.86666667,1.083333333,3.333333333,2.266666667,2.051666667,0.019166667
observation3531,0,0,0,0,0,8.514285714,172,9.871428571,0.914285714,2.742857143,1.971428571,1.687285714,0.017857143
observation3532,0,0,0,0,0,9.3125,175.25,13.325,1.1625,3.1125,2.25,1.715875,0.02025
observation3533,0,0,0,0,1,8.814285714,224.2857143,10.92857143,0.914285714,2.671428571,1.771428571,1.238,0.016857143
observation3534,0,1,0,0,0,8.45,445,12.05,2.15,5.35,4.5,2.0645,0.085
observation3535,0,0,1,1,1,8.15,407,9.9,1.85,3.85,2.35,0.949,0.062
observation3536,0,0,1,0,0,8,267,11.65,1.85,3,4.95,2.811,0.0375
observation3537,1,1,1,1,1,7.3,282.5,7.65,1.3,3.4,5.3,1.812,0.037
observation3538,1,0,1,1,1,8.5,331.5,13.6,2.6,5.05,4.7,1.837,0.0515
observation3539,0,0,1,0,0,8.15,394,11.7,1.35,4.2,3.85,2.1305,0.058
observation3540,1,0,0,0,0,7.65,309.5,10.6,1.9,4.25,6,3.289,0.05
observation3541,1,0,0,0,0,7.7,317.5,9,2.5,5.85,11.7,2.4235,0.0855
observation3542,1,1,0,0,1,7.7,206,11.7,1.5,2.45,29.9,2.755,0.0675
observation3543,1,1,1,1,1,8.2,308.5,10.55,0.8,4.5,3,1.599,0.0545
observation3544,1,1,0,0,1,8,217,10.25,1.1,4.05,3.15,2.1365,0.039
observation3545,0,0,1,0,0,7.85,228,8.7,0.85,3.25,5.2,2.906,0.0395
observation3546,1,0,1,1,0,8.75,439,11.35,1.7,5.55,4.35,1.188,0.03
observation3547,1,0,0,1,1,7.55,234,8,0.8,3.85,6.4,2.4965,0.044
observation3548,0,0,0,0,0,8.675,1029.25,11.45,4.525,8.4,19.2,1.8365,0.062
observation3549,0,1,0,0,0,7.85,739.75,8.5,2.375,7.475,26.275,2.0805,0.0635
observation3550,0,0,0,0,0,9.1,890.5,12.125,2.825,7.475,12.85,1.7925,0.0345
observation3551,0,0,0,0,0,8.025,698.75,10.325,3.3,7.175,27.125,2.0755,0.1275
observation3552,1,0,0,0,0,7.4,202.5,8,4.5,4.95,15.1,2.5345,0.0575
observation3553,0,0,0,1,1,8.55,206,10.4,2.7,3.2,10.7,1.739,0.0605
observation3554,0,0,0,0,0,7.6,161,9.4,1.7,2.8,14.3,3.4275,0.04
observation3555,1,1,1,1,0,7.45,194.6666667,8.933333333,1.433333333,3.85,13.6,2.5585,0.055833333
observation3556,1,0,1,0,1,7.5625,187.125,10.025,2.025,3.975,13.275,2.121,0.06525
observation3557,1,0,1,1,1,7.614285714,219.4285714,8.385714286,1.357142857,3.414285714,13.22857143,2.31,0.057142857
observation3558,0,1,0,0,0,7.671428571,194.2857143,9.657142857,2.214285714,4.414285714,14.05714286,2.744142857,0.057142857
observation3559,1,0,1,0,0,7.7,196.2857143,8.657142857,2.042857143,3.8,11.54285714,2.116285714,0.045
observation3560,1,0,0,1,0,7.657142857,154.5714286,9.414285714,1.842857143,4.657142857,16.6,2.014857143,0.070571429
observation3561,1,0,1,0,1,7.875,201,9.1,1.2875,4.075,10.375,1.661625,0.03075
observation3562,1,0,1,0,0,7.628571429,153.4285714,9.571428571,1.685714286,4.285714286,10.8,2.105571429,0.034857143
observation3563,0,0,1,1,0,7.314285714,145,8.371428571,1.042857143,5.242857143,55.45714286,2.975714286,0.061571429
observation3564,0,0,1,0,0,8.225,250.125,10.7125,3.0875,4.875,11.475,1.7055,0.034875
observation3565,1,0,0,0,0,7.4,210,8.25,1.1,3.733333333,9.433333333,3.210166667,0.045833333
observation3566,0,1,0,0,0,8.014285714,610.7142857,10.52857143,6.414285714,11.51428571,21.08571429,4.735571429,0.100285714
observation3567,0,0,0,0,0,7.128571429,490.7142857,5.285714286,2.342857143,8.442857143,15.51428571,3.444428571,0.055714286
observation3568,0,1,0,0,0,7.928571429,633.2857143,10.8,6.457142857,11.07142857,22.1,4.176571429,0.079857143
observation3569,0,0,0,0,0,7.9875,347.875,8.875,3.1875,7.6375,27.6625,2.65775,0.06125
observation3570,0,1,0,0,0,8.05,420.6666667,9.95,5.183333333,8.45,35.48333333,3.0035,0.081166667
observation3571,0,0,0,0,0,7.557142857,348.4285714,7.085714286,1.828571429,5.728571429,24.05714286,3.059571429,0.064428571
observation3572,0,1,0,0,0,7.8,419.625,9.0625,4.6375,8.8125,38.975,3.249,0.103625
observation3573,0,1,0,0,0,7.485714286,472.4285714,7.385714286,1.814285714,6.057142857,18.51428571,2.633285714,0.065857143
observation3574,1,1,1,1,0,7.357142857,104.2857143,8.985714286,0.314285714,1.128571429,0.714285714,1.041857143,0.011428571
observation3575,1,1,1,1,0,7.5375,88.5,10.55,0.4,1.475,2.7125,2.27675,0.015375
observation3576,0,1,0,0,0,7.366666667,99.83333333,10.01666667,0.316666667,2.083333333,0.466666667,1.665666667,0.020333333
observation3577,0,0,0,1,1,7.5625,86.5,10.725,0.375,1.55,1.075,1.9735,0.0125
observation3578,1,0,1,1,0,7.128571429,138.7142857,9.071428571,0.385714286,1.785714286,0.571428571,2.196571429,0.014714286
observation3579,1,0,1,1,0,7.371428571,103.8571429,10.75714286,0.314285714,1.914285714,1.114285714,2.316285714,0.012857143
observation3580,1,0,1,1,1,7.657142857,95.71428571,9,0.6,2.342857143,2.814285714,1.562285714,0.025571429
observation3581,1,0,0,0,1,7.485714286,89.28571429,10.94285714,0.528571429,2.285714286,1.114285714,2.006714286,0.015142857
observation3582,1,0,1,1,0,7.5,114.25,9.85,0.8375,2.475,0.5375,1.356,0.011
observation3583,1,1,0,1,0,7.485714286,88.28571429,10.37142857,1.014285714,3.128571429,6.057142857,1.873714286,0.018428571
observation3584,0,0,1,0,1,7.228571429,104,8.557142857,0.442857143,2.528571429,1.385714286,2.441142857,0.017714286
observation3585,0,0,0,0,0,7.1875,115,10.7125,0.4875,1.9,0.975,1.994375,0.013125
observation3586,0,0,0,0,1,6.85,95,8.566666667,0.433333333,1.7,1.433333333,1.413666667,0.027666667
observation3587,1,0,0,0,1,7.816666667,165.5,10.23333333,1.1,3.8,2.216666667,4.562333333,0.021
observation3588,1,0,1,0,0,8.014285714,106.5714286,9.628571429,1.057142857,4.014285714,4.628571429,1.994,0.025
observation3589,1,0,0,1,1,7.85,110.25,10.275,0.975,2.975,1.75,2.40125,0.032
observation3590,1,0,0,0,1,7.757142857,153.2857143,10.75714286,0.771428571,3.085714286,1.028571429,1.861142857,0.030714286
observation3591,1,1,0,0,0,7.875,171.5,11.5875,1.65,4.95,16.425,3.499625,0.052625
observation3592,0,1,1,0,1,8.685714286,181.1428571,11.65714286,1.357142857,3.785714286,5.671428571,3.059714286,0.036571429
observation3593,0,1,0,1,1,8.433333333,178.3333333,10.96666667,0.816666667,3.5,2.133333333,2.975166667,0.0455
observation3594,1,0,0,0,1,9.025,184.5,14.325,1.9125,4.8125,4.225,2.515875,0.035125
observation3595,0,1,1,1,1,8.614285714,205.8571429,13.07142857,0.542857143,3.585714286,2.2,2.256571429,0.031714286
observation3596,0,0,0,0,0,8.2,202.1428571,12.01428571,1.371428571,4.342857143,2.971428571,3.116428571,0.033142857
observation3597,0,1,0,0,0,8.285714286,186.5714286,10.45714286,0.9,4.085714286,2.4,2.698285714,0.043
observation3598,0,1,0,0,0,8.114285714,124.1428571,10.44285714,1.257142857,4.1,3.6,1.363857143,0.032714286
observation3599,1,1,0,0,0,8.4625,156.125,10.6875,1.2125,3.65,1.125,0.89,0.01675
observation3600,0,1,0,0,0,7.9,137.2857143,9.814285714,1.214285714,4.357142857,7.771428571,2.157,0.029571429
observation3601,0,1,0,0,0,7.814285714,138.7142857,8.928571429,0.742857143,3.8,1.614285714,2.549142857,0.036428571
observation3602,0,1,0,0,0,8.075,172.25,10.625,1.1625,3.825,3.025,1.01525,0.021125
observation3603,0,0,0,0,1,7.783333333,153.8333333,9.216666667,0.65,3.316666667,2.866666667,2.271833333,0.040666667
observation3604,1,1,0,0,0,7.65,141.5,8.95,1.7,3.3,5.3,2.863,0.0275
observation3605,1,0,1,1,1,7.3,150.5,9.05,1.55,3.7,6.5,1.1925,0.0175
observation3606,0,0,1,0,0,7.8,133,10.25,1.15,2.95,6,2.729,0.0305
observation3607,0,0,1,0,1,7.05,135.5,9.45,1,2.05,4.1,2.6085,0.026
observation3608,1,0,1,1,1,8.05,232,9.9,1.8,3,11.7,1.602,0.0285
observation3609,1,0,1,0,1,8.55,169,9.4,1,2.9,2.55,1.4965,0.0295
observation3610,0,0,0,0,1,7.85,148,10,2.15,4.1,4.7,2.176,0.018
observation3611,1,1,0,0,0,7.7,130.5,9.15,0.7,3.9,5.3,1.875,0.0455
observation3612,1,1,0,0,0,8.4,137.5,11.4,1.4,3.25,4.2,1.7735,0.0405
observation3613,1,0,1,1,1,7.9,157.5,9.15,1.2,3.3,2.4,1.6865,0.0205
observation3614,1,1,1,0,0,7.75,141,10.65,1.1,3.1,5.2,2.4805,0.0225
observation3615,0,0,0,0,1,8.15,144.5,8.45,0.95,3.95,4.4,2.8215,0.0315
observation3616,0,0,1,0,1,8.2,184.5,11.5,2.45,4.75,13,1.523,0.03
observation3617,0,0,0,0,1,7.8,137.5,7.55,1.05,3.65,5.7,2.248,0.0265
observation3618,0,0,0,0,0,7.9375,165.125,11.05,2.1375,4.6125,8.2375,2.778,0.07025
observation3619,0,1,0,0,0,7.975,190.625,9.725,1.6625,4.2625,7.45,1.5965,0.087375
observation3620,0,1,0,0,0,7.475,162.125,10.1875,1.65,3.7125,9.3125,2.838625,0.038625
observation3621,0,1,0,0,0,7.633333333,150.6666667,10.1,1.366666667,3.566666667,9.1,2.561333333,0.041166667
observation3622,0,0,0,0,1,7.925,162.625,10.2625,2.4625,4.4125,11,2.52325,0.0485
observation3623,0,1,1,0,0,8.314285714,187.2857143,10.41428571,1.585714286,4.1,4.742857143,2.153857143,0.038714286
observation3624,0,0,0,0,0,7.828571429,185.2857143,10.61428571,2.271428571,4.585714286,6.585714286,2.620857143,0.037285714
observation3625,0,1,0,0,0,7.825,176,9.9125,2.0625,4.2875,5.425,2.28125,0.0375
observation3626,0,1,0,0,0,8,155.5714286,9.9,2.314285714,5.1,9.657142857,1.917142857,0.054428571
observation3627,0,1,0,0,1,8.2625,197.875,9.3875,1.875,4.9625,5.325,1.745625,0.027625
observation3628,0,1,0,0,0,8.157142857,161,10.22857143,2.357142857,5.128571429,10.8,2.504285714,0.030285714
observation3629,0,1,0,0,0,7.357142857,140.7142857,8.485714286,0.771428571,4.314285714,10.85714286,3.033285714,0.045857143
observation3630,0,1,0,0,1,8.171428571,164.2857143,10.11428571,2.128571429,4.371428571,7.257142857,1.859,0.030571429
observation3631,0,0,0,0,0,8.9,242.1428571,10.77142857,2.642857143,6.728571429,10.77142857,1.622,0.038428571
observation3632,0,1,0,0,1,8.466666667,188.6666667,10.05,2.2,4.85,7.333333333,3.3545,0.0235
observation3633,0,1,0,0,0,7.785714286,171.2857143,9.128571429,1.428571429,4.214285714,5.8,2.725142857,0.025428571
observation3634,0,0,0,0,0,8.35,238.875,10.9,3.2875,5.7375,10.475,1.658875,0.04075
observation3635,0,0,0,0,0,7.8,150.8333333,9.3,1.55,4.483333333,12.5,2.433166667,0.052666667
observation3636,0,0,0,0,0,8.214285714,174.7142857,10.28571429,3.214285714,5.128571429,7.142857143,1.255428571,0.038857143
observation3637,0,1,0,0,0,7.7,169,8.6875,1.4375,4,10.3625,2.01425,0.036625
observation3638,0,0,0,0,1,7.9375,183.125,9.1875,1.975,4.5,7.7,2.0385,0.038
observation3639,0,1,0,0,0,7.842857143,198.2857143,9.342857143,1.171428571,3.842857143,3.714285714,1.717714286,0.027285714
observation3640,0,1,0,0,0,7.65,311.625,10.5375,1.7125,5.675,30.2,3.033875,0.090875
observation3641,0,0,0,0,0,7.7375,262.75,10.15,1.8375,4.8875,18.6125,3.04975,0.08475
observation3642,1,1,0,0,0,7.3625,197.375,9.0625,1.5375,5.6125,30.05,2.4325,0.097625
observation3643,0,0,1,0,0,7.9625,280,10.475,2.5875,5.3375,8.9,3.137625,0.0585
observation3644,0,1,1,0,0,8.1,250.125,9.0875,2.35,7.4,13.05,2.287625,0.093375
observation3645,0,0,0,0,0,8.0875,367.875,10.5375,2.5375,6.25,8.3,3.59,0.053375
observation3646,0,0,0,0,0,8.05,201.625,9.225,1.825,6.075,8.8,2.458,0.063625
observation3647,0,0,0,0,0,8.1875,251,10.1625,2.4,5.9875,8.25,2.59,0.044
observation3648,0,0,0,0,0,8.325,275.125,8.425,1.925,7.0625,9.825,1.688875,0.04525
observation3649,0,0,0,0,0,7.7875,274.75,9.975,1.975,5.775,8.725,2.563875,0.029375
observation3650,0,1,0,0,0,7.5125,206.75,8.55,1.525,7.25,44.725,2.698375,0.070625
observation3651,0,1,0,0,0,8.0625,414.125,9.6625,1.8875,5.4,3.325,3.158625,0.027
observation3652,0,0,0,0,0,8.3375,313.625,9.2125,1.4875,6.7125,6.975,2.256375,0.031875
observation3653,0,1,0,0,0,8.3875,281.25,11.1,2.075,6.0625,9.2,3.07275,0.028625
observation3654,0,0,0,0,0,7.9125,178.875,8.575,1.3875,6.7625,19.1125,2.468625,0.062875
observation3655,0,0,0,0,1,7.8875,392,9.8375,1.4375,4.975,3.725,3.041625,0.026875
observation3656,0,0,0,0,0,7.275,177,8.5875,1.55,6.525,20.175,2.092375,0.06675
observation3657,0,1,0,0,0,7.825,306.625,9.6625,1.4375,4.7875,3.425,2.54925,0.02925
observation3658,0,0,0,0,0,8.2875,173.75,9.4125,1.55,6.125,16.0125,1.964,0.046375
observation3659,0,0,0,0,0,7.875,290.5,9.6375,1.7375,5.55,4.25,2.658,0.035
observation3660,0,1,0,0,0,8.4125,236.375,9.7875,1.6125,6.3875,9.7,2.139375,0.03825
observation3661,0,1,0,0,0,7.9,142.5,8.2,1.35,3.45,2.9,2.2175,0.0305
observation3662,0,1,0,0,0,6.9,142.5,9.1,0.85,2.6,2.4,2.0275,0.033
observation3663,0,0,0,0,0,7.85,281,9.85,1.5,3.35,4.6,2.992,0.0495
observation3664,0,1,0,0,0,8,143.5,10.05,1,2.05,2.7,2.587,0.0585
observation3665,0,0,0,0,0,6.5,117,9.45,0.35,2.65,8,2.123,0.0215
observation3666,0,1,0,0,0,8.05,162,10.6,0.8,3.2,1.55,2.24,0.0335
observation3667,1,0,1,1,1,7.45,108.5,10.75,1.3,3.25,4.2,2.45,0.017
observation3668,0,1,1,0,1,7.55,164,8.8,0.9,2.85,2.75,2.16,0.0365
observation3669,0,1,0,0,0,7.75,98,12.55,1,2.6,5.1,2.048,0.046
observation3670,1,0,0,1,0,7.6,113,10.15,0.45,2.95,3.2,1.794,0.0365
observation3671,1,1,0,1,1,7.9,98.5,10.35,1.05,2.3,5.75,2.774,0.0195
observation3672,1,0,1,1,1,7.45,116.5,9.55,0.6,2.6,3.8,2.5955,0.0235
observation3673,0,0,0,0,0,8.5,171.5,10.2,1.6,3.1,4.45,1.544,0.0275
observation3674,0,0,0,0,0,7.75,84.5,7.35,0.6,3.2,4.1,1.6775,0.0325
observation3675,0,1,0,0,0,7.675,136.5,8.8,1.525,2.8,3.5,2.505,0.04
observation3676,1,0,0,0,0,7.35,161,8.3,0.575,2.725,1.8,1.7875,0.062
observation3677,1,1,0,0,0,7.925,174.5,11.225,3.225,4.25,2.875,2.02875,0.0545
observation3678,0,0,0,0,0,7.575,153,8.575,1.125,3.925,6.575,1.756,0.072
observation3679,0,1,0,0,0,8.4,456,12.85,1.55,5.3,9.3,1.949,0.0665
observation3680,1,1,0,0,0,8.1,255,9,3.2,3.8,28.6,2.773,0.132
observation3681,1,1,0,0,0,7.35,267,6.6,1.9,4.6,15.8,3.2295,0.087
observation3682,0,0,0,0,0,8,289.5,13.85,1.55,4,4.4,3.6305,0.0875
observation3683,0,1,0,0,0,7.7,318.5,6.1,4.65,6.05,8.05,2.6015,0.165
observation3684,0,1,0,0,0,7.8,212,10.5,2.75,6.05,12,3.0395,0.0785
observation3685,0,1,0,0,1,7.7,260.5,7.5,1.7,3.4,6.2,2.757,0.147
observation3686,0,0,0,0,0,8.25,259.5,10.4,3.55,5.45,6.3,4.1295,0.2155
observation3687,0,1,0,0,0,7.65,298,6.3,2.1,5.05,2.3,2.624,0.111
observation3688,0,1,0,0,0,7.75,221,9.35,2.75,5.2,7.15,3.556,0.1015
observation3689,0,1,0,0,0,7.4,187.5,7.65,2.05,4.9,15.8,3.309,0.0835
observation3690,0,1,0,0,0,7.65,466,10.1,1.95,5.55,6.55,1.1815,0.064
observation3691,0,0,0,0,0,7.45,230,6.6,1.3,4.75,14.2,2.4285,0.0855
observation3692,0,0,0,0,0,7.55,369,10.55,3.1,6,19,3.3305,0.04
observation3693,1,1,0,0,0,7.6,306,7.55,2.95,7.4,12.25,1.444,0.0625
observation3694,0,1,0,0,0,8.95,299.5,10.65,6.85,9.2,20.1,2.875,0.0945
observation3695,0,1,0,0,0,7.55,272.5,7.9,4.55,8.3,14.45,2.4255,0.182
observation3696,0,0,0,0,0,9.05,301,9.2,4.2,6.9,15.3,3.5155,0.0745
observation3697,1,1,0,0,0,7.6,344,8.1,2.35,8.1,19.7,1.4925,0.0895
observation3698,0,1,0,0,0,8.25,404,11.55,3.5,6.8,16.3,3.174,0.0685
observation3699,0,1,0,0,0,7.7,235.5,6.75,2.25,6.7,20.4,1.7965,0.0605
observation3700,1,0,0,0,0,8.85,307,11.8,5.35,8.2,11.65,2.1885,0.1175
observation3701,0,1,0,0,0,7.75,2353.5,8.65,2.5,7.7,12,1.5555,0.064
observation3702,0,1,0,0,0,8.05,309.5,9.5,4.9,6.4,15.85,2.38,0.072
observation3703,0,1,0,0,0,7.8,236,10,3.35,7.7,17.2,2.261,0.1225
observation3704,0,0,0,0,0,8.7,451,11.35,4.7,6.9,14,3.0815,0.075
observation3705,0,1,0,0,0,7.5,263,5.8,2.55,7.6,18.1,2.0745,0.118
observation3706,0,0,0,0,0,7.75,818,9.65,4.95,9.15,15,5.384,0.0705
observation3707,0,0,0,0,0,7.4,625,8.55,3,7.2,15.4,5.351,0.1115
observation3708,0,1,0,0,0,7.65,646.5,10.65,5.8,10.85,15.55,4.962,0.0855
observation3709,0,0,0,0,0,7.05,484,9.8,2.7,8.2,18.35,5.1495,0.1095
observation3710,0,0,0,0,0,8.5,177.5,9.95,0.95,4,3.5,1.727,0.016
observation3711,0,1,0,0,1,8.05,183.5,10.75,0.8,2.6,0.6,0.853,0.0115
observation3712,0,0,0,0,0,8.3,117.5,11.15,0.9,3.5,3,2.3885,0.014
observation3713,0,0,0,0,1,8.1,158.5,10.1,0.8,2.8,10.7,1.9405,0.028
observation3714,1,0,0,0,1,8.25,172,11.85,1.75,3.2,4,2.346,0.02
observation3715,0,1,0,0,0,8.4,212.5,11.95,0.95,3.5,0.5,1.426,0.0125
observation3716,0,1,0,0,1,8.3,180,9,1.15,3.3,1.7,2.14,0.0445
observation3717,0,1,1,0,1,7.55,129.5,9.95,0.8,3.9,4.8,1.5485,0.0555
observation3718,0,0,0,0,1,8.2,153.5,8.85,1.7,4.5,3.5,1.4215,0.0175
observation3719,0,1,1,0,1,8.4,127.5,11.8,1.5,3.7,1.1,0.7935,0.0195
observation3720,1,1,0,0,1,8,101,10.25,1.1,3.7,1.1,1.756,0.022
observation3721,0,1,0,0,1,7.25,159,9.1,0.6,3.3,1.9,2.011,0.0315
observation3722,0,1,1,0,1,9.4,196.5,13.2,2.55,4.6,5.75,0.812,0.0115
observation3723,1,0,0,0,1,8.1,177.5,9.35,0.7,3.5,1.9,1.7655,0.025
observation3724,1,0,1,1,0,8.2,243.5,11.65,0.75,3.6,1.5,2.8185,0.019
observation3725,1,1,1,1,1,7.95,282.5,9.4,0.6,2.5,2.2,1.117,0.0115
observation3726,0,0,0,0,1,7.3,282.5,10.05,0.75,3,3.2,2.6995,0.023
observation3727,0,1,0,1,1,7.45,247.5,8.85,0.8,3.6,3.8,3.282,0.0295
observation3728,0,1,0,1,1,8.35,247.5,10.65,0.75,2.3,2.8,2.41,0.007
observation3729,0,1,0,1,1,6.85,309,7,0.9,3,4,1.3465,0.0125
observation3730,0,1,0,1,1,7.8,172.5,9.3,0.85,5.15,1.95,3.0525,0.02
observation3731,0,1,0,0,1,7.35,249,8.7,0.55,4.05,1.2,3.848,0.0235
observation3732,0,0,0,0,1,7.25,208,11.2,1.6,2.8,6.8,2.073,0.037
observation3733,0,1,0,0,1,7.15,289.5,11.15,0.85,4.55,2.25,1.6705,0.016
observation3734,0,0,0,0,1,7.3,176,9.7,1.5,2.4,0.4,2.4385,0.029
observation3735,0,1,0,0,1,7.2,209,8.7,1.35,6.7,5.75,1.651,0.094
observation3736,1,1,0,0,0,7.9,322.5,10.1,1.1,2.5,3.2,1.89,0.0245
observation3737,1,0,0,0,1,7.95,237,7.6,1.45,3,1.1,2.5125,0.024
observation3738,1,0,1,1,1,8.775,364,11.225,3.225,7.45,10.8,3.5675,0.073
observation3739,0,1,0,0,0,8.9,363,11.6,2.2,5.4,9.7,1.6455,0.037
observation3740,1,1,0,0,0,8.3,245,11.2,1.7,4.2,9,3.3105,0.0285
observation3741,0,1,0,0,1,8.25,307.5,9,1.45,4.8,5.9,3.1075,0.057
observation3742,0,1,0,0,1,8.55,332.5,10.7,2.65,5.4,8.9,2.6035,0.039
observation3743,0,1,0,0,0,8.2,384,12.15,3.05,5.8,17.1,2.7695,0.103
observation3744,0,0,0,0,1,9.25,342.5,9.4,2.9,6.2,18.1,2.6825,0.0415
observation3745,0,1,0,0,1,7.5,236,9.85,1.4,5.4,15.6,1.967,0.0865
observation3746,0,1,0,0,1,8.2,342,9,3.35,7.7,9.2,2.0365,0.025
observation3747,0,0,0,0,1,8.4,423.5,10.7,1.4,5.3,8.3,1.66,0.0375
observation3748,0,1,0,0,0,8.05,210,10.15,1.6,5.3,5.4,2.5765,0.033
observation3749,0,1,0,0,1,7.65,280.5,8.6,1.05,4.4,3,2.9895,0.0585
observation3750,1,0,0,0,0,9.2,768.5,11.55,4.5,7.7,5.8,1.334,0.0335
observation3751,0,0,0,0,0,7.5,358,10.15,1.05,4.8,5,2.872,0.0515
observation3752,0,1,0,0,0,7.9375,18968.125,10.1375,2.675,4.95,14.325,2.51575,0.07675
observation3753,0,1,0,0,0,8.15,14592.25,8.05,1.875,3.55,14.4,1.486375,0.066125
observation3754,0,1,0,0,0,8,8695.25,9.5125,1.825,3.7,7.5,2.41225,0.062
observation3755,0,1,0,0,0,7.775,13405.125,8.5375,2.325,5.45,13.925,2.8045,0.069
observation3756,0,1,0,0,1,7.8625,15971.75,8.425,3.7375,4.65,9.975,3.226125,0.06375
observation3757,0,1,0,0,0,7.7,14357.375,6.95,2.4,4.975,13.425,2.493125,0.12425
observation3758,0,0,0,0,0,7.65,24878.5,7.0625,2.4375,6.05,15.4,2.3315,0.11
observation3759,0,1,0,0,0,7.7875,11014.5,7.4375,2.1625,6.125,12.875,2.421375,0.08825
observation3760,0,0,0,0,0,7.925,16877.625,9.75,3.6125,3.575,10.825,2.06425,0.065375
observation3761,0,0,0,0,0,8.1875,11853.625,8.95,1.8125,4.15,8.05,1.7295,0.138125
observation3762,0,1,0,0,0,7.9875,8370.5,9.75,2.175,4.7,7.125,2.196,0.060125
observation3763,0,0,0,0,0,7.6375,3245.75,8.475,1.2875,4.3625,8.975,2.804,0.055875
observation3764,0,0,0,0,0,8.1625,27970.75,10.575,3.0375,3.8,18.6375,1.5705,0.077125
observation3765,0,0,0,0,0,7.35,15828.125,7.0375,1.85,5.8,13.675,1.50025,0.064
observation3766,0,0,0,0,0,7.7,18656.75,9.175,1.1875,4.7,17.25,2.496625,0.069375
observation3767,0,0,0,0,0,7.0125,10865.125,7.8,1.8,5.657142857,14.6625,2.31825,0.056375
observation3768,0,0,0,0,0,8.1625,27803.25,9.575,3.5625,6.4,16.025,1.3675,0.061125
observation3769,0,0,0,0,0,7.75,7005.625,8.225,1.5375,4.15,9.575,2.2955,0.054875
observation3770,0,0,0,0,0,8.0625,25993.625,10.7125,2.0875,3.3625,16.6125,1.765375,0.07225
observation3771,0,1,0,0,0,7.7375,11930.5,7.875,1.0875,3.95,15.05,1.825625,0.070375
observation3772,0,0,0,0,0,8.05,19255.75,9.5125,2.075,4.75,13.275,2.1985,0.0985
observation3773,0,0,0,0,0,7.7875,6855.125,7.85,1.175,4.2625,12.35,1.9595,0.0665
observation3774,1,0,0,0,0,7.8,88,10.65,0.55,1.9,0.55,1.6485,0.025
observation3775,1,1,1,0,0,7.7,97,7.9,0.45,1.9,0,1.1555,0.021
observation3776,0,0,0,0,0,7.95,87.5,11.05,0.35,1.45,0.6,1.3755,0.0135
observation3777,1,0,1,1,0,7.3,142,4.9,0.45,1.05,0,0.836,0.016
observation3778,0,0,1,0,0,7.9,95.5,9.8,0.3,1.8,0.6,1.41,0.023
observation3779,0,0,0,0,1,7.55,96,8.65,0.85,1.4,0.15,0.877,0.0295
observation3780,1,1,0,1,0,7.8,64,11.15,0.25,1.1,1.15,1.162,0.037
observation3781,1,0,0,0,1,7.95,106,6.8,0.25,1.5,0.3,1.1675,0.0305
observation3782,1,0,1,1,0,8.3,46.5,10.1,0.25,2.05,0.55,0.83,0.011
observation3783,1,1,0,0,1,8.05,120.5,9.7,0.6,1.5,0.8,1.364,0.043
observation3784,1,0,0,1,1,7.4,91.5,8.75,0.7,1.5,0.55,1.0155,0.011
observation3785,1,1,1,1,0,7.25,220.5,9.3,0.95,3,2,4.4015,0.029
observation3786,1,0,1,1,0,7.55,159,9.05,1.2,2.3,2.85,3.3285,0.0435
observation3787,1,0,1,1,0,8,249.5,10.3,1.55,3.2,1.25,2.962,0.059
observation3788,1,0,1,1,0,8.1,191.5,5.8,1,2.8,1.4,2.2205,0.0425
